# concurso;1255
odd_mandante;odd_empate;odd_visitante;time_mandante;time_visitante
1.61;3.930263157894737;5.592894736842105;BRASIL;MARROCOS
7.135526315789473;4.611052631578947;1.4331578947368422;HAITI;ESCOCIA/SCT
1.0363636363636364;17.976969696969697;47.81878787878788;ALEMANHA;CURAÇAO
2.003888888888889;3.5675000000000003;3.6297222222222225;HOLANDA;JAPAO
3.552285714285714;2.975142857142857;2.2957142857142854;COSTA DO MARFIM;EQUADOR
1.945142857142857;3.3608571428571428;4.136;SUECIA;TUNISIA
1.0891428571428572;10.744;27.943142857142856;ESPANHA;CABO VERDE
1.6517142857142855;3.976571428571429;5.069428571428571;BELGICA;EGITO
6.746216216216217;4.298378378378378;1.4835135135135136;ARABIA SAUDITA;URUGUAI
1.4373529411764705;4.5526470588235295;7.214411764705882;FRANCA;SENEGAL
12.263823529411766;6.300588235294118;1.2341176470588235;IRAQUE;NORUEGA
1.408108108108108;4.504324324324324;8.285135135135135;ARGENTINA;ARGELIA
1.2655882352941177;5.820882352941176;10.933529411764706;PORTUGAL;CONGO
1.738235294117647;3.7385294117647057;4.743235294117647;INGLATERRA;CROACIA
